Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Crest Jewel (and Crest Jewel Direct)","North Dome > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862890/crest-jewel-and-crest-jewel-direct,3.7,-1,"Trad, Sport","5.10 R",15,,37.7541,-119.5607
"Monkey Off My Back","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106811013/monkey-off-my-back,3.7,-1,Sport,5.8+,1,,44.37056,-121.14399
"Vomit Launch","(f) Cocaine Gully > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789348/vomit-launch,3.8,-1,Sport,5.11b,1,,44.36719,-121.14307
"1/2 Route","Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Utah",https://www.mountainproject.com/route/105717895/12-route,3.7,-1,Sport,5.10+,1,80,37.45133,-113.16338
"Big Bad Wolf","Riding Hood Wall > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107339211/big-bad-wolf,3.0,-1,Sport,5.9,3,220,36.14947,-115.42673
"Unimpeachable Groping","Ginger Buttress > 11-Juniper Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732431/unimpeachable-groping,3.4,-1,Sport,5.10b,7,760,36.11213,-115.48829
"A Brief History of Climb","The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106125070/a-brief-history-of-climb,3.7,-1,Sport,5.10b,1,75,37.65292,-83.71772
"Upper Diagonal","05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730598/upper-diagonal,3.7,-1,"Trad, TR",5.9,1,,43.41359,-89.71252
"Fiddler on the Roof","Black Velvet Wall > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732248/fiddler-on-the-roof,3.6,-1,"Trad, Sport",5.10+,7,500,36.03518,-115.46652
"The Peacemaker","The Sheepshead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106080329/the-peacemaker,3.5,-1,Sport,5.10a,7,,31.87031,-109.99388
"Pioneer Route","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105791058/pioneer-route,3.5,-1,"Trad, Sport, Aid","5.7 C0",3,250,44.37056,-121.14399
"Peter Principle","North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735527/peter-principle,3.8,-1,"Trad, TR",5.11a,1,80,39.31633,-120.31906
"The Opportunist","Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/108151365/the-opportunist,3.7,-1,Sport,5.11a,1,80,39.5167,-105.3958
Masuko,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106736128/masuko,3.8,-1,Sport,5.11a,1,70,38.2338,-80.8552
"King Me","Eastern Sky Bridge Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105964688/king-me,3.8,-1,Sport,5.11b,1,90,37.81596,-83.58104
"AC Devil Dog","The Grotto > Table Mountain > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/105734903/ac-devil-dog,3.7,-1,Sport,5.10d,1,50,37.926,-120.4635
Waimea,"Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105867858/waimea,3.6,-1,Sport,5.10d,1,50,43.80386,-71.84091
"Pick Pocket","Holy Trinity > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105843696/pick-pocket,3.7,-1,Sport,5.11a,1,60,37.52349,-118.57518
"Tribal War","Left Side (Tribal War, Poker-Face Alice, and Lone Pilgrim Walls) > OK Corral > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/105841251/tribal-war,3.7,-1,Sport,5.11b,1,70,42.5745,-108.71644
"Monkey Space","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105791523/monkey-space,3.6,-1,Sport,5.11b,2,100,44.37056,-121.14399
"Horseshoes and Hand Grenades","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106026838/horseshoes-and-hand-grenades,3.7,-1,Sport,5.11a,1,60,36.00394,-93.28377
Toxic,"(d) Aggro Gully > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789298/toxic,3.7,-1,Sport,5.11b,1,50,44.36724,-121.14238
"Green Monster","Green Monster Slab > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105741686/green-monster,3.7,-1,"Trad, TR",5.9,1,100,40.2651,-111.6222
"Climb of the Ancient Mariner","The Bookend > Lumpy Ridge > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105748966/climb-of-the-ancient-mariner,3.7,-1,"Trad, Sport",5.10a,3,,40.40681,-105.5372
"Circus in the Wind","Circus Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105856757/circus-in-the-wind,3.7,-1,Sport,5.11-,1,70,44.10072,-107.28884
Whip-Stocking,"Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106081917/whip-stocking,3.7,-1,Sport,5.11a,1,80,37.65292,-83.72495
"Mr Choad's Wild Ride","Sunny and Steep > Kraft Mountain Area > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106375205/mr-choads-wild-ride,3.7,-1,Sport,5.11b,1,105,36.16986,-115.42321
"Tabula Rasa","The Vestibule > The Monastery > Big Thompson Canyon > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105756052/tabula-rasa,3.6,-1,Sport,5.10d,1,,40.45334,-105.36914
"Tribal Boundaries","Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741602/tribal-boundaries,3.6,-1,"Sport, TR",5.10-,1,60,42.07673,-113.7137
"Space Boyz","La Selva (Jungle Wall) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106183204/space-boyz,3.6,-1,Sport,5.10d,11,1000,25.94838,-100.47698
Silverado,"Contest Wall > Sand Gulch > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105755704/silverado,3.7,-1,Sport,5.11b,1,,38.62148,-105.23217
Leonids,"Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105793305/leonids,3.6,-1,Sport,5.9,3,350,32.90461,-116.81845
"Lonesome Dove","Jimmy Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/105879126/lonesome-dove,3.6,-1,Sport,5.10a,1,,43.80417,-71.84037
Babe-a-licious,"The Betagraph > Logan > Wasatch Range > Utah",https://www.mountainproject.com/route/106191104/babe-a-licious,3.7,-1,Sport,5.10d,1,70,41.80111,-111.63692
"Royal Flush","Mount Royal (near Frisco) > 10 Mile Canyon > Colorado",https://www.mountainproject.com/route/106811713/royal-flush,2.9,-1,Sport,5.9,8,1500,39.5723,-106.111
"Pitch Black","The Conundrums > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/108556929/pitch-black,3.6,-1,Sport,5.10+,6,800,25.949,-100.477
"Two Pumped Chump","Mota Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106178074/two-pumped-chump,3.7,-1,Sport,5.11a,2,200,25.94747,-100.4761
"The Totem Pole","Totem-Proto Area > Lower Devil's Canyon > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105861164/the-totem-pole,3.6,-1,Sport,5.10c/d,2,150,33.27587,-111.02832
Expressway,"Social Platform > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105843306/expressway,3.7,-1,Sport,5.11b,1,80,37.51236,-118.57069
"Bathtub Mary","The Arsenal > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106862482/bathtub-mary,3.7,-1,Sport,5.11a,1,70,37.73348,-83.63984
Congratulations,"05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730472/congratulations,3.7,-1,"Trad, TR",5.10a,1,60,43.41359,-89.71252
Gossamer,"Picture Window > Monster North > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714776/gossamer,3.7,-1,"Trad, Sport",5.7,1,40,43.88448,-103.46349
"Air Ride Equipped","The Solarium > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106586504/air-ride-equipped,3.6,-1,Sport,5.11a,1,65,37.73372,-83.63884
"Edge of Time","The Fin > Jurassic Park - Lily Lake > CO Hwy 7 & Tributaries > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105756826/edge-of-time,3.4,-1,"Sport, TR",5.9,1,85,40.3127,-105.5411
"Star Chek","Galaxy Buttress > The Gorge > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107104796/star-chek,3.4,-1,Sport,5.8+,3,400,49.924,-123.1675
"The Golden Dream","s. The Golden Wall > Peterskill > The Gunks > New York",https://www.mountainproject.com/route/105899731/the-golden-dream,3.6,-1,"Trad, TR",5.9,1,70,41.73904,-74.21411
"Pumping Huecos","The Sponge > Las Conchas > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/105865288/pumping-huecos,3.7,-1,Sport,5.10d,1,50,35.82164,-106.53818
"Millenium Falcon","Main Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/106021168/millenium-falcon,3.6,-1,Sport,5.10c,1,75,43.8025,-71.83593
"The Raw and the Roasted","The Gym > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/106015558/the-raw-and-the-roasted,3.7,-1,Sport,5.11,1,,38.6329,-105.2165
"27 Years of Climbing","The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106125099/27-years-of-climbing,3.5,-1,Sport,5.8,1,65,37.65292,-83.71772
"Yellow Brick Road","Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870649/yellow-brick-road,3.7,-1,Sport,5.11b,1,50,37.75195,-83.66364
Feline,"Upper Ice Caves (Feline area) > Ice Cave Walls > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/105756046/feline,3.6,-1,Sport,5.11b,1,,39.71269,-107.69257
"Big Bear Memorial","Hound Dog Crag > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107199072/big-bear-memorial,3.7,-1,Sport,5.10b,1,100,44.10018,-107.28473
Cheatah,"11: Bill's Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730808/cheatah,3.6,-1,"Trad, TR",5.10b,1,120,43.41366,-89.71414
Yippey-Kay-Yay,"Lady In Red > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/105868471/yippey-kay-yay,3.6,-1,Sport,5.10b,1,70,44.33171,-103.9001
"John Fischer Memorial Route","PSOM Slab > Scheelite Crags / PSOM Slab > Pine Creek Canyon > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107278643/john-fischer-memorial-route,3.6,-1,"Trad, Sport",5.10c,7,750,37.38788,-118.6742
Bandolier,"Torrent Falls > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105918062/bandolier,3.7,-1,Sport,5.11a,1,70,37.72,-83.66294
"Wild at Heart","I. Railroad Rock > A. North Canyon > Jackson Falls > Illinois",https://www.mountainproject.com/route/106447069/wild-at-heart,3.8,-1,Sport,5.10d,1,,37.50881,-88.69216
"No Passion for Fashion","Menses Prow > The Gallery > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105748990/no-passion-for-fashion,3.6,-1,Sport,5.11b/c,1,,38.6199,-105.2371
Misty,"Sun Wall > Sand Rock > Alabama",https://www.mountainproject.com/route/105905421/misty,3.6,-1,Sport,5.10b/c,1,90,34.18041,-85.81555
Guppy,"Creek Side > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105763794/guppy,3.5,-1,Sport,5.8,1,115,39.74102,-105.41042
Superfly,"Gotham City > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105890099/superfly,3.6,-1,Sport,5.10c,2,180,37.52751,-118.57443
"Wishbone Dihedral","Chicken Head Ranch > Devil's Head > South Platte > Colorado",https://www.mountainproject.com/route/106895231/wishbone-dihedral,3.6,-1,Sport,5.11b,1,80,39.25855,-105.10569
"Adair by the Sea","Otter Cliffs > Acadia National Park > Maine",https://www.mountainproject.com/route/106112441/adair-by-the-sea,3.6,-1,"Trad, TR","5.10b/c PG13",1,60,44.31194,-68.18919
"Random Precision","The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106577204/random-precision,3.6,-1,Sport,5.11b,1,60,37.65292,-83.71772
Jolt,"The Hinterlands > *Rumney > New Hampshire",https://www.mountainproject.com/route/105931493/jolt,3.5,-1,Sport,5.10a,1,,43.80547,-71.84373
Topaz,"The Headstone > Devil's Head > South Platte > Colorado",https://www.mountainproject.com/route/105749470/topaz,3.6,-1,Sport,5.10c,2,220,39.2575,-105.0991
"Holier Than Thou","Christian Brothers - West Side > (l) Christian Brothers > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105815098/holier-than-thou,3.6,-1,Sport,5.11b,1,80,44.36601,-121.14688
Gorgeous,"Gorgeous Towers > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105843581/gorgeous,3.6,-1,Sport,5.10b,1,90,37.52313,-118.57433
"I Just Do Eyes","The Back Forty > French Cattle Ranch > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105855562/i-just-do-eyes,3.6,-1,Sport,5.11b,1,90,44.1485,-107.25814
"Aerial Book","Rincon - L of Center Route > Rincon > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105754969/aerial-book,3.6,-1,"Trad, TR","5.11a PG13",2,120,39.93435,-105.28993
"The Great Escape","Shagg Crag > Maine",https://www.mountainproject.com/route/106076035/the-great-escape,3.6,-1,Sport,5.10b/c,1,,44.4237,-70.5309
Spawn,"Image Wall > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106111639/spawn,3.6,-1,Sport,5.10b/c,1,90,36.0947,-84.7083
"Mars Attacks","The Fin > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105793038/mars-attacks,3.4,-1,"Trad, Sport","5.9 PG13",4,350,34.90455,-111.80682
"Decameron, The","Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106184767/decameron-the,3.6,-1,Sport,5.10b,1,90,38.10049,-81.09596
"Generator Crack","n. Generator Station > Lower Merced River Canyon > Yosemite National Park > California",https://www.mountainproject.com/route/105952381/generator-crack,3.5,-1,"Trad, TR",5.10c,1,60,37.722,-119.70321
"Fire and Brimstone","Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106081931/fire-and-brimstone,3.6,-1,Sport,5.10d,1,90,37.65292,-83.72495
"Cheerio Bowl","D. Pricker Peak > C. Hidden Peaks > E. South Canyon > Jackson Falls > Illinois",https://www.mountainproject.com/route/106061463/cheerio-bowl,3.6,-1,Sport,5.10a,1,50,37.50212,-88.68582
"Standing Room Only","Crime Buttress > Foster Falls > Tennessee",https://www.mountainproject.com/route/106617956/standing-room-only,3.6,-1,Sport,5.11a,1,80,35.18235,-85.67386
"Baba Cool","Chopping Block > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714854/baba-cool,3.6,-1,Sport,5.9+,1,60,43.88538,-103.46937
"Magic Light Start","(g) Morning Glory Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/110457319/magic-light-start,3.5,-1,Sport,5.11a,1,,44.36716,-121.14353
"Pocket  Rocket","Day Canyon Cragging Routes > Day Canyon > Potash Road > Moab Area > Utah",https://www.mountainproject.com/route/106297965/pocket-rocket,3.5,-1,Sport,5.10c,1,65,38.56973,-109.66167
"Dost Mitra","Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Utah",https://www.mountainproject.com/route/107312510/dost-mitra,3.5,-1,Sport,5.11a/b,1,100,37.45133,-113.16338
"Dancing Madly Backwards","1. Old Sandstone > East Bluff 01 - Sandstone Area > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730235/dancing-madly-backwards,3.6,-1,"Trad, TR","5.10b PG13",1,,43.4137,-89.6863
"Rumor Has It","The Sapper Cave > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/105985455/rumor-has-it,3.6,-1,Sport,5.11b,1,100,39.71953,-107.69026
"Off The Couch","Zapatista Wall > El Toro (The Front Side) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106729852/off-the-couch,3.6,-1,Sport,5.10d,7,600,25.949,-100.477
"Snott Girlz","Mota Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106115483/snott-girlz,3.5,-1,Sport,5.10+,7,450,25.94747,-100.4761
"Astro Lad","Wall Street > Potash Road > Moab Area > Utah",https://www.mountainproject.com/route/105717901/astro-lad,3.6,-1,"Trad, TR",5.11a,1,60,38.54669,-109.59961
"Lime Street","The Bank > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752587/lime-street,3.6,-1,Sport,5.11b,1,,38.6331,-105.2297
"Taliban soup","Prophecy Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105986418/taliban-soup,3.6,-1,Sport,5.11,1,,36.00388,-93.29631
Cromagnon,"East Face > Dike Wall > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/105912080/cromagnon,3.6,-1,Sport,5.10a,1,80,37.5958,-119.0134
"Winds of Fire","Hard Rock > American Fork Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106003242/winds-of-fire,3.5,-1,Sport,5.10a,1,100,40.4507,-111.6717
"Jew Jew Fruit","Fruit Wall > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/110889566/jew-jew-fruit,3.6,-1,Sport,5.10c,1,75,37.64504,-83.67849
"Flakes of Wrath","Wall Street > Potash Road > Moab Area > Utah",https://www.mountainproject.com/route/105717511/flakes-of-wrath,3.4,-1,"Trad, TR",5.9+,1,,38.54669,-109.59961
"Wherever I May Roam","(6) Northwest Face > (m) Smith Rock Group > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105821077/wherever-i-may-roam,3.3,-1,Sport,5.9,5,400,44.36445,-121.1482
"Pale Face","The Balcony > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099127/pale-face,3.6,-1,Sport,5.11a,1,90,36.0947,-84.7083
"Circuit Breaker","Circuit Breaker > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105979654/circuit-breaker,3.7,-1,"TR, Boulder","5.11b V2",1,20,37.73578,-119.57543
Kinesthetica,"Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105987545/kinesthetica,3.6,-1,Sport,5.10c,1,90,38.10049,-81.09596
Waves,"Shipyard Rock > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714728/waves,3.5,-1,Sport,5.8,2,180,43.8864,-103.46677
"Sendero Luminoso","Solarium > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105881156/sendero-luminoso,3.6,-1,Sport,"5.10b R",1,115,37.51713,-118.57143
Underdog,"Main Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/105877217/underdog,3.4,-1,Sport,5.10a,1,,43.8025,-71.83593
"Coyotes in the Henhouse","Claim Jumper Wall > Central Pinnacles > Holcomb Valley Pinnacles > Big Bear North > Big Bear Lake Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/105825537/coyotes-in-the-henhouse,3.6,-1,Sport,5.10d,1,70,34.3079,-116.8786
"Back To The Future","The Bank > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105750058/back-to-the-future,3.6,-1,Sport,5.11b/c,1,,38.6331,-105.2297
"Enchanted Porkfist","The Dark Side > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752419/enchanted-porkfist,3.6,-1,Sport,5.11a,1,,38.6281,-105.2239
"Holy War","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/108668668/holy-war,3.7,-1,Sport,5.9,1,95,35.19166,-85.69914
"Lovely Arete","C. Lovely Tower > C. North Falls > Jackson Falls > Illinois",https://www.mountainproject.com/route/106032481/lovely-arete,3.6,-1,Sport,5.11a,1,35,37.50635,-88.68311
"Peer Pressure","Bonsai > *Rumney > New Hampshire",https://www.mountainproject.com/route/105927987/peer-pressure,3.5,-1,Sport,5.10d,1,,43.80288,-71.83926
Curvaceous,"Wall of the '90s > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105750487/curvaceous,3.5,-1,Sport,5.11,1,100,39.7388,-105.3222
"Sometime Crack","05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730787/sometime-crack,3.5,-1,"Trad, TR",5.10a,1,50,43.41359,-89.71252
Forest,"Gateway Rock > Las Conchas > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/105860955/forest,3.6,-1,Sport,5.10b/c,1,62,35.816,-106.533
Redtail,"Rabbit Rock - Southwest > Rabbit Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742076/redtail,3.6,-1,Sport,5.11a,1,150,42.08358,-113.72075
"Armed and Dangerous, and Off My Medication","Armed and Dangerous Area (Main Cliff Left) > *Rumney > New Hampshire",https://www.mountainproject.com/route/105935097/armed-and-dangerous-and-off-my-medication,3.4,-1,Sport,5.10b,1,,43.80203,-71.83678
"Group Therapy","A. The Gallery > B. West Falls > Jackson Falls > Illinois",https://www.mountainproject.com/route/106357480/group-therapy,3.5,-1,Sport,5.10c,1,60,37.50699,-88.68508
"Illegal Smile","Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105929386/illegal-smile,3.5,-1,Sport,5.11b,1,80,38.63213,-105.22238
"Hardly Wallbanger","Pub Wall > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105880587/hardly-wallbanger,3.5,-1,Sport,5.10c,1,90,37.51096,-118.57058
